Trait,Score Range,Description_vi,Description_en,Top_3_traits,top_traits_description_vi,top_traits_description_en,Highest_Trait,Lowest_Trait,Description_vi_fallback,Description_en_fallback
Adventurous,1.00-1.80,"Bạn là người ưa thích an toàn, luôn suy nghĩ kỹ trước khi đưa ra quyết định tài chính. Sự ổn định và chắc chắn là những giá trị bạn ưu tiên, giúp bạn luôn có kế hoạch chi tiêu rõ ràng và tránh được rủi ro.","You're someone who finds comfort in stability. Your financial decisions are calculated, and you prefer to avoid unnecessary risks. It’s not about playing it safe, but rather about ensuring you're always on solid ground.",Adventurous - Analytical - Caution,"Bạn luôn bị thúc đẩy bởi khát khao khám phá những cơ hội mới nhưng lại có một cách tiếp cận đầy tính toán. Tính phiêu lưu thôi thúc bạn khám phá, trong khi sự phân tích giúp bạn đảm bảo mọi quyết định đều có căn cứ. Mặc dù bạn chấp nhận rủi ro, sự thận trọng vẫn giữ bạn ở mức an toàn và có thể kiểm soát.","You’re driven by a thirst for new opportunities but always with a calculated approach. Your adventurous side pushes you to explore, while your analytical mindset ensures every move is backed by logic. Though you take risks, caution keeps you grounded and safe.",Adventurous,Convenience,,
Adventurous,1.81-2.60,"Bạn thường lựa chọn những quyết định tài chính dựa trên sự tính toán và cân nhắc cẩn thận, nhưng đôi khi bạn cũng không ngại thử nghiệm những phương án mới mẻ, miễn là chúng vẫn nằm trong tầm kiểm soát.","You like to explore new options occasionally, but you never stray too far from what feels familiar. You enjoy trying new things financially, but always with a cautious approach, ensuring things remain within your control.",Adventurous - Analytical - Conservative," Với sự yêu thích mạo hiểm và phiêu lưu, bạn không ngại đối mặt với những cơ hội tài chính mới, nhưng luôn có chiến lược rõ ràng và hợp lý. Tính bảo thủ giúp bạn bám vào những nguyên tắc đã được kiểm chứng, cân bằng giữa sự đổi mới và truyền thống.","Bold and adventurous, you're not afraid to take on new financial ventures, but always with a clear, logical strategy in place. Your conservative side ensures you stick to tried-and-true principles, balancing innovation with tradition.",Adventurous,Impulsive,,
Adventurous,2.61-3.40,"Bạn vừa thận trọng nhưng cũng thỉnh thoảng thích phá bỏ giới hạn an toàn của bản thân. Bạn sẵn sàng khám phá những cơ hội tài chính mới, miễn là bạn đã có sự chuẩn bị kỹ lưỡng và tự tin vào quyết định của mình.","You balance adventure with practicality. You're not afraid to take a few leaps here and there, especially when the odds are in your favor, but you always make sure there’s a safety net.",Adventurous - Analytical - Convenience,"Bạn yêu thích những trải nghiệm mới nhưng không bao giờ thiếu kế hoạch thông minh. Bạn khám phá những lựa chọn tài chính mới mẻ, nhưng sự tiện lợi là yếu tố quan trọng. Bạn luôn muốn mọi thứ diễn ra nhanh chóng và hiệu quả mà không đánh mất tính phiêu lưu của mình.","You're all about new experiences, but not without a smart plan in place. You love exploring new financial options, but convenience is key. You want things done efficiently and effectively without sacrificing your adventurous spirit.",Adventurous,Conservative,,
Adventurous,3.41-4.20,"Bạn không ngại mạo hiểm khi tìm kiếm các cơ hội tài chính, nhưng luôn giữ cho mình một chiến lược để giảm thiểu rủi ro. Những lựa chọn của bạn thường thể hiện sự tinh tế, pha chút thử thách đầy hứng khởi.","You thrive on seeking out new opportunities, always ready to step out of your comfort zone. Your financial choices are bold, but you're never reckless – it's all part of the calculated risk that excites you.",Adventurous - Analytical - Impulsive,"Bạn sống vì những điều thú vị, luôn tìm kiếm những cơ hội tài chính mới mẻ. Mặc dù tư duy phân tích giúp bạn đánh giá nhanh chóng, bản năng bốc đồng đôi khi lấn át, khiến bạn đưa ra quyết định dựa trên cảm xúc và trực giác","You live for excitement, always on the lookout for fresh financial opportunities. While your analytical side helps you evaluate quickly, your impulsive nature often takes over, leading you to make decisions based on passion and gut instinct.",Adventurous,Caution,,
Adventurous,4.21-5.00,"Bạn là người không ngại bước ra khỏi vùng an toàn để tìm kiếm những cơ hội đầu tư tiềm năng. Đối với bạn, hành trình tài chính cũng là một cuộc phiêu lưu thú vị, mỗi quyết định đều mở ra những cánh cửa mới.","You live for the thrill! In your financial world, nothing is too far-fetched, and you're always on the lookout for the next big opportunity. Taking risks is part of your DNA, and you know how to turn them into rewards.",Adventurous - Caution - Analytical,,,Adventurous,Analytical,,
Analytical,1.00-1.80,"Bạn thích đơn giản hóa mọi thứ khi xem xét các quyết định tài chính, tập trung vào những gì cơ bản và rõ ràng nhất. Sự tinh tế và phân tích kỹ lưỡng không phải là ưu tiên hàng đầu, nhưng bạn luôn đảm bảo rằng mình hiểu đủ trước khi quyết định.","You tend to make financial decisions with ease, without diving too deep into the numbers. While you appreciate some level of analysis, you trust simple logic and practical experience to guide you.",Adventurous - Caution - Conservative,,,Convenience,Adventurous,,
Analytical,1.81-2.60,"Bạn có xu hướng phân tích các quyết định chi tiêu dựa trên những thông tin cơ bản, kết hợp với một chút đánh giá cá nhân. Sự cân bằng giữa lý trí và cảm tính giúp bạn đưa ra các quyết định một cách hợp lý.","You tend to make decisions with a simple approach, relying on common sense rather than detailed analysis. While you may glance at some basic facts, your decisions are often guided by practicality and intuition rather than deep data insights.",Adventurous - Caution - Convenience,,,Convenience,Impulsive,,
Analytical,2.61-3.40,"Bạn thích xem xét mọi góc độ trước khi đưa ra quyết định tài chính. Khả năng phân tích của bạn giúp bạn nắm rõ ưu và nhược điểm của từng lựa chọn, từ đó đưa ra quyết định một cách tự tin.","You have a keen sense of balance between intuition and analysis. You trust the numbers, but you also know when it's time to follow your instincts, creating a winning combination in your financial life.",Adventurous - Caution - Impulsive,,,Convenience,Conservative,,
Analytical,3.41-4.20,"Bạn là người cực kỳ tỉ mỉ và kỹ lưỡng khi đánh giá các quyết định tài chính. Bạn có khả năng nhìn thấu các chi tiết nhỏ và luôn dựa trên số liệu, dữ liệu để đưa ra lựa chọn chính xác.","Your analytical mind is sharp, and you never make a financial move without considering every angle. You see the hidden patterns and trends, helping you stay ahead of the game.",Adventurous - Conservative - Analytical,,,Convenience,Caution,,
Analytical,4.21-5.00,"Bạn là bậc thầy trong việc phân tích mọi khía cạnh của tài chính. Từng quyết định của bạn đều dựa trên sự nghiên cứu và đánh giá sâu sắc, mang lại những lựa chọn có lợi ích lâu dài.","Your ability to dissect every financial situation with precision is remarkable. You see the long-term outcomes and always make the most informed decisions, ensuring your financial success with foresight and strategy.",Adventurous - Conservative - Caution,,,Convenience,Analytical,,
