Keyword,Conservative,Analytical,Cautious,Adventurous,Impulsive,Convenient
Organized,0.8,0.9,0.7,0.2,0.1,0.7
Disciplined,0.9,0.8,0.8,0.1,0.2,0.6
Goal-Oriented,0.7,0.8,0.5,0.3,0.2,0.5
Strategic,0.8,0.9,0.7,0.4,0.2,0.5
Patient,0.9,0.7,0.8,0.1,0,0.3
Consistent,0.8,0.7,0.7,0.1,0.1,0.4
Streamlined,0.7,0.6,0.5,0.2,0.1,0.8
Transparent,0.5,0.7,0.6,0.3,0.2,0.7
Efficient,0.6,0.8,0.5,0.2,0.1,0.9
Caution,0.9,0.7,1,0.1,0.1,0.5
Convenient,0.3,0.5,0.4,0.6,0.5,0.9
Timely,0.4,0.5,0.6,0.3,0.4,0.8
Responsible,0.9,0.6,0.7,0.1,0.2,0.5
Self-reliant,0.8,0.7,0.6,0.3,0.3,0.6
Practical,0.8,0.7,0.7,0.2,0.2,0.6
Fast,0.2,0.4,0.3,0.8,0.9,0.7
Temporary,0.3,0.3,0.2,0.7,0.8,0.6
Flexible,0.6,0.7,0.4,0.8,0.7,0.6
Responsive,0.5,0.6,0.4,0.7,0.6,0.7
Immediate,0.2,0.4,0.3,0.8,0.9,0.6
Risk-free,0.9,0.7,0.8,0.1,0,0.5
Stability,0.9,0.8,0.7,0.1,0,0.6
Reliable,0.8,0.7,0.8,0.2,0.1,0.7
Predictable,0.9,0.7,0.8,0.1,0,0.5
Secured,0.8,0.7,0.8,0.2,0.1,0.5
Adventurous,0.2,0.3,0.1,0.9,0.8,0.4
Risk-taker,0.3,0.5,0.2,1,0.9,0.5
Opportunistic,0.4,0.6,0.3,0.9,0.8,0.4
Ambitious,0.4,0.8,0.4,0.7,0.6,0.5
Analytical,0.9,1,0.6,0.4,0.2,0.6
Fun,0.1,0.2,0.1,0.9,0.8,0.4
Insightful,0.6,0.9,0.5,0.4,0.3,0.6
Challenging,0.7,0.8,0.4,0.7,0.6,0.7
Personal,0.5,0.6,0.4,0.6,0.5,0.7
Controllable,0.4,0.6,0.5,0.7,0.6,0.6
none,0,0.1,0,0.4,0.4,0.3
Trustworthy,0.9,0.8,0.7,0.2,0.1,0.7
Collaborative,0.5,0.7,0.4,0.6,0.5,0.8
Social,0.3,0.5,0.2,0.8,0.7,0.9
Generous,0.6,0.6,0.5,0.7,0.8,0.8
Optimistic,0.4,0.6,0.2,0.8,0.7,0.8
Thoughtful,0.7,0.8,0.6,0.3,0.4,0.6
Appreciative,0.5,0.6,0.4,0.7,0.5,0.7
Stable,0.9,0.7,0.8,0.1,0.2,0.6
Protective,0.9,0.8,0.8,0.2,0,0.5
Committed,0.8,0.8,0.6,0.3,0.4,0.7
Engaged,0.7,0.9,0.7,0.4,0.5,0.6
Supportive,0.8,0.7,0.6,0.5,0.6,0.7
Impulsive,0.1,0.2,0.1,0.8,1,0.5
Flexibility,0.4,0.5,0.4,0.8,0.7,0.6
Accurate,0.8,0.9,0.7,0.2,0.1,0.5
